Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830599452;2017-05-15 13:43:19;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-93;3.5407458778029293
1494830599452;2017-05-15 13:43:19;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;3.3709195429295136
1494830600652;2017-05-15 13:43:20;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.4732784857751406
1494830600652;2017-05-15 13:43:20;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;4.576101611210365
1494830600653;2017-05-15 13:43:20;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.5718507647132256
1494830600653;2017-05-15 13:43:20;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;3.382253720455389
1494830601849;2017-05-15 13:43:21;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.476461410090973
1494830601850;2017-05-15 13:43:21;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-96;4.59706989324861
1494830601850;2017-05-15 13:43:21;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;3.399846850982013
1494830603011;2017-05-15 13:43:23;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-93;3.6095418128102104
1494830604233;2017-05-15 13:43:24;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-86;3.4133634659124708
1494830604234;2017-05-15 13:43:24;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-92;4.555226398697926
1494830605395;2017-05-15 13:43:25;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.4144054747281114
1494830605395;2017-05-15 13:43:25;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-95;3.695461589106338
1494830605396;2017-05-15 13:43:25;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-95;3.4290277186438685
1494830606594;2017-05-15 13:43:26;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.4144054747281114
1494830606595;2017-05-15 13:43:26;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-94;3.5031013527870725
1494830607818;2017-05-15 13:43:27;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.4144054747281114
1494830607818;2017-05-15 13:43:27;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-95;3.7552202803484738
1494830608973;2017-05-15 13:43:28;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.4133634659124708
1494830608974;2017-05-15 13:43:28;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;3.8034115460681885
1494830610157;2017-05-15 13:43:30;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.4290277186438685
1494830610158;2017-05-15 13:43:30;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-99;3.613754439613543
1494830611372;2017-05-15 13:43:31;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.443713813831083
